Commander_ID,Rank,Last_Name,FirstName,email,Squadron_ID,phone_number,,,"***DATA PROTECTED VIA PRIVACY ACT, NAMES and NUMBERS RANDOMIZED***"
51,Capt,Yardleigh,Ylissa,ylissa.yardleigh@us.af.mil,1,(505) 853-7226,,,
20,Capt,Thornvale,Thalindra,thalindra.thornvale@us.af.mil,2,(505) 846-8335,,,
38,Capt,Loxmere,Lysira,lysira.loxmere@us.af.mil,2,(505) 853-3759,,,
33,Capt,Greymount,Gaviel,gaviel.greymount@us.af.mil,3,(505) 846-1172,,,
32,Lt Col,Foxworth,Fendric,fendric.foxworth@us.af.mil,4,(505) 853-9774,,,
54,Capt,Bellhaven,Brielleth,brielleth.bellhaven@us.af.mil,4,(505) 853-8522,,,
30,Capt,Draxley,Drelian,drelian.draxley@us.af.mil,5,(505) 853-7836,,,
41,Capt,Oakmere,Othren,othren.oakmere@us.af.mil,5,(505) 853-2809,,,
9,Capt,Iverton,Iserra,iserra.iverton@us.af.mil,6,(505) 853-9994,,,
11,Capt,Kendrith,Kaelith,kaelith.kendrith@us.af.mil,7,(505) 846-3767,,,
45,Capt,Stormvale,Solveth,solveth.stormvale@us.af.mil,7,(505) 853-3611,,,
19,Maj,Sablehurst,Sylvannis,sylvannis.sablehurst@us.af.mil,8,(505) 853-9650,,,
4,Maj,Draycott,Draxen,draxen.draycott@us.af.mil,9,(505) 853-2153,,,
57,Capt,Elverston,Eldira,eldira.elverston@us.af.mil,9,(505) 846-6696,,,
46,Maj,Temberton,Torwyn,torwyn.temberton@us.af.mil,10,(505) 846-5760,,,
34,Maj,Holloway,Hestara,hestara.holloway@us.af.mil,11,(505) 853-8448,,,
8,Lt Col,Hathersage,Havoris,havoris.hathersage@us.af.mil,12,(505) 846-9418,,,
16,Maj,Penhaven,Pyrran,pyrran.penhaven@us.af.mil,12,(505) 846-6993,,,
5,Lt Col,Eldermoor,Elviera,elviera.eldermoor@us.af.mil,13,(505) 846-5938,,,
60,Capt,Haldridge,Halric,halric.haldridge@us.af.mil,13,(505) 853-6873,,,
7,Maj,Grimshaw,Grendell,grendell.grimshaw@us.af.mil,14,(505) 846-4734,,,
53,Lt Col,Arkwright,Aelric,aelric.arkwright@us.af.mil,15,(505) 853-5169,,,
23,Capt,Wendmere,Wynndell,wynndell.wendmere@us.af.mil,16,(505) 846-5320,,,
17,Lt Col,Quorlan,Quenara,quenara.quorlan@us.af.mil,17,(505) 846-9213,,,
58,Maj,Fairchild,Fenrin,fenrin.fairchild@us.af.mil,17,(505) 853-2764,,,
10,Maj,Jorrelson,Jorvyn,jorvyn.jorrelson@us.af.mil,18,(505) 846-3116,,,
6,Capt,Fenwick,Faelric,faelric.fenwick@us.af.mil,19,(505) 853-9870,,,
25,Maj,Yarroway,Yalric,yalric.yarroway@us.af.mil,19,(505) 846-7972,,,
3,Capt,Corvane,Cindorin,cindorin.corvane@us.af.mil,20,(505) 846-1795,,,
31,Maj,Erelstone,Everis,everis.erelstone@us.af.mil,21,(505) 846-7388,,,
40,Maj,Nightwell,Naelis,naelis.nightwell@us.af.mil,22,(505) 846-9053,,,
59,Lt Col,Glanmore,Griselda,griselda.glanmore@us.af.mil,22,(505) 846-9303,,,
36,Lt Col,Jexford,Jexica,jexica.jexford@us.af.mil,23,(505) 853-9442,,,
48,Capt,Varnholt,Vaylen,vaylen.varnholt@us.af.mil,23,(505) 853-1411,,,
28,Maj,Briscombe,Braxen,braxen.briscombe@us.af.mil,24,(505) 846-8459,,,
39,Lt Col,Montclair,Morvain,morvain.montclair@us.af.mil,24,(505) 853-7874,,,
55,Maj,Crestmoore,Caelus,caelus.crestmoore@us.af.mil,25,(505) 853-6950,,,
56,Lt Col,Dovenshire,Dravion,dravion.dovenshire@us.af.mil,26,(505) 853-2986,,,
63,Lt Col,Kenwick,Kethira,kethira.kenwick@us.af.mil,26,(505) 846-5062,,,
50,Lt Col,Xelridge,Xandor,xandor.xelridge@us.af.mil,27,(505) 846-3602,,,
2,Lt Col,Bexley,Brexley,brexley.bexley@us.af.mil,28,(505) 846-4636,,,
12,Lt Col,Luthmere,Lioran,lioran.luthmere@us.af.mil,28,(505) 846-3966,,,
42,Lt Col,Pryndell,Phaelis,phaelis.pryndell@us.af.mil,29,(505) 846-8343,,,
49,Maj,Whittacre,Wrenna,wrenna.whittacre@us.af.mil,29,(505) 846-4703,,,
26,Lt Col,Zetheridge,Zephira,zephira.zetheridge@us.af.mil,30,(505) 853-6469,,,
62,Capt,Jorhaven,Jorren,jorren.jorhaven@us.af.mil,30,(505) 853-6953,,,
21,Lt Col,Ulverton,Uvenna,uvenna.ulverton@us.af.mil,31,(505) 853-2989,,,
37,Maj,Kilbourne,Korran,korran.kilbourne@us.af.mil,31,(505) 853-2012,,,
44,Lt Col,Rowntree,Renlor,renlor.rowntree@us.af.mil,32,(505) 853-1462,,,
47,Lt Col,Underleigh,Urelia,urelia.underleigh@us.af.mil,33,(505) 853-4227,,,
1,Maj,Avenforth,Alvian,alvian.avenforth@us.af.mil,34,(505) 846-7165,,,
