First_Sergeant_ID,Rank,Last_Name,FirstName,email,phone_number,,,"***DATA PROTECTED VIA PRIVACY ACT, NAMES and NUMBERS RANDOMIZED***"
1,SMSgt,Anderson,Alexander,alexander.anderson@us.af.mil,(505) 846-2198,,,
2,MSgt,Bennett,Benjamin,benjamin.bennett@us.af.mil,(505) 846-4632,,,
3,MSgt,Carter,Charlotte,charlotte.carter@us.af.mil,(505) 846-9821,,,
4,MSgt,Dawson,Daniel,daniel.dawson@us.af.mil,(505) 846-1357,,,
5,MSgt,Edwards,Emily,emily.edwards@us.af.mil,(505) 846-6289,,,
6,MSgt,Fisher,Finn,finn.fisher@us.af.mil,(505) 846-7421,,,
7,MSgt,Grant,Grace,grace.grant@us.af.mil,(505) 846-9512,,,
8,MSgt,Harrison,Henry,henry.harrison@us.af.mil,(505) 846-1186,,,
9,MSgt,Ingram,Isabella,isabella.ingram@us.af.mil,(505) 846-2753,,,
10,SMSgt,Johnson,Jackson,jackson.johnson@us.af.mil, (505) 846-4932,,,
11,SMSgt,King,Kayla,kayla.king@us.af.mil, (505) 846-8172,,,
12,SMSgt,Lewis,Liam,liam.lewis@us.af.mil, (505) 846-6543,,,
13,SMSgt,Mitchell,Madison,madison.mitchell@us.af.mil, (505) 846-3921,,,
14,MSgt,Nelson,Nathan,nathan.nelson@us.af.mil, (505) 846-9285,,,
15,MSgt,Owens,Olivia,olivia.owens@us.af.mil, (505) 846-1478,,,
16,MSgt,Patterson,Parker,parker.patterson@us.af.mil, (505) 846-6231,,,
17,MSgt,Quinn,Quinn,quinn.quinn@us.af.mil, (505) 846-7562,,,
18,TSgt,Richardson,Riley,riley.richardson@us.af.mil, (505) 846-9843,,,
19,MSgt,Simmons,Sophia,sophia.simmons@us.af.mil, (505) 846-2191,,,
20,TSgt,Thompson,Tyler,tyler.thompson@us.af.mil, (505) 846-4639,,,
21,SMSgt,Underwood,Abigail,abigail.underwood@us.af.mil, (505) 846-9825,,,
22,MSgt,Vaughn,Caleb,caleb.vaughn@us.af.mil, (505) 846-1359,,,
23,MSgt,Williams,David,david.williams@us.af.mil, (505) 846-6281,,,
24,SMSgt,Xavier,Ethan,ethan.xavier@us.af.mil, (505) 846-7425,,,
25,MSgt,Young,Fiona,fiona.young@us.af.mil, (505) 846-9519,,,
26,TSgt,Zimmerman,Gabriel,gabriel.zimmerman@us.af.mil, (505) 846-1189,,,
27,SMSgt,Armstrong,Hannah,hannah.armstrong@us.af.mil, (505) 846-2759,,,
28,TSgt,Brooks,Ian,ian.brooks@us.af.mil, (505) 846-4939,,,
29,MSgt,Coleman,Julia,julia.coleman@us.af.mil, (505) 846-8179,,,
30,MSgt,Daniels,Kevin,kevin.daniels@us.af.mil, (505) 846-6549,,,
31,TSgt,Everett,Lucas,lucas.everett@us.af.mil, (505) 846-3925,,,
32,MSgt,Franklin,Mia,mia.franklin@us.af.mil, (505) 846-9281,,,
33,TSgt,Garcia,Noah,noah.garcia@us.af.mil, (505) 846-1479,,,
34,MSgt,Hayes,Oliver,oliver.hayes@us.af.mil, (505) 846-6235,,,
35,MSgt,Irving,Penelope,penelope.irving@us.af.mil, (505) 846-7569,,,
36,SMSgt,Jefferson,Ryan,ryan.jefferson@us.af.mil, (505) 846-9849,,,
37,MSgt,Knight,Savannah,savannah.knight@us.af.mil, (505) 853-2198,,,
38,SMSgt,Lawson,Tristan,tristan.lawson@us.af.mil, (505) 853-4632,,,
39,MSgt,Martinez,Violet,violet.martinez@us.af.mil, (505) 853-9821,,,
40,SMSgt,Nichols,Wyatt,wyatt.nichols@us.af.mil, (505) 853-1357,,,
41,MSgt,O’Connor,Xavier,xavier.o’connor@us.af.mil, (505) 853-6289,,,
42,SMSgt,Peterson,Zoey,zoey.peterson@us.af.mil, (505) 853-7421,,,
43,SMSgt,Reed,Ava,ava.reed@us.af.mil, (505) 853-9512,,,
44,MSgt,Stevenson,Brady,brady.stevenson@us.af.mil, (505) 853-1186,,,
45,SMSgt,Taylor,Chloe,chloe.taylor@us.af.mil, (505) 853-2753,,,
46,MSgt,Ulrich,Dominic,dominic.ulrich@us.af.mil, (505) 853-4932,,,
47,MSgt,Vincent,Elijah,elijah.vincent@us.af.mil, (505) 853-8172,,,
48,MSgt,Walker,Faith,faith.walker@us.af.mil, (505) 853-6543,,,
49,MSgt,Xander,Gavin,gavin.xander@us.af.mil, (505) 853-3921,,,
50,SMSgt,York,Hazel,hazel.york@us.af.mil, (505) 853-9285,,,
51,MSgt,Adams,Isaac,isaac.adams@us.af.mil, (505) 853-1478,,,
52,MSgt,Brooks,Jasmine,jasmine.brooks@us.af.mil, (505) 853-6231,,,
53,SMSgt,Castillo,Kaden,kaden.castillo@us.af.mil, (505) 853-7562,,,
54,SMSgt,Dixon,Leah,leah.dixon@us.af.mil, (505) 853-9843,,,
55,MSgt,Evans,Mason,mason.evans@us.af.mil, (505) 853-2191,,,
56,TSgt,Fowler,Natalie,natalie.fowler@us.af.mil, (505) 853-4639,,,
57,MSgt,Gonzalez,Owen,owen.gonzalez@us.af.mil, (505) 853-9825,,,
58,TSgt,Hunter,Peyton,peyton.hunter@us.af.mil, (505) 853-1359,,,
59,MSgt,Jenkins,Reagan,reagan.jenkins@us.af.mil, (505) 853-6281,,,
60,TSgt,Keller,Samuel,samuel.keller@us.af.mil, (505) 853-7425,,,
61,MSgt,Logan,Tessa,tessa.logan@us.af.mil, (505) 853-9519,,,
62,MSgt,Murphy,Ulysses,ulysses.murphy@us.af.mil, (505) 853-1189,,,
63,TSgt,Norton,Victoria,victoria.norton@us.af.mil, (505) 853-2759,,,
,MSgt,Ortiz,Wesley,wesley.ortiz@us.af.mil, (505) 853-4939,,,
,MSgt,Parker,Xavier,xavier.parker@us.af.mil, (505) 853-8179,,,
,MSgt,Ramirez,Yolanda,yolanda.ramirez@us.af.mil, (505) 853-6549,,,
,SMSgt,Scott,Zachary,zachary.scott@us.af.mil, (505) 853-3925,,,
,MSgt,Turner,Addison,addison.turner@us.af.mil, (505) 853-9281,,,
,SMSgt,Vaughn,Blake,blake.vaughn@us.af.mil, (505) 853-1479,,,
,SMSgt,Watson,Carter,carter.watson@us.af.mil, (505) 853-6235,,,
,MSgt,Xavier,Delilah,delilah.xavier@us.af.mil, (505) 853-7569,,,
,MSgt,Yates,Emerson,emerson.yates@us.af.mil, (505) 853-9849,,,
