INSERT INTO First_sergeants VALUES ('1', 'SMSgt', 'Anderson', 'Alexander', 'alexander.anderson@us.af.mil', '(505) 846-2198');
INSERT INTO First_sergeants VALUES ('2', 'MSgt', 'Bennett', 'Benjamin', 'benjamin.bennett@us.af.mil', '(505) 846-4632');
INSERT INTO First_sergeants VALUES ('3', 'MSgt', 'Carter', 'Charlotte', 'charlotte.carter@us.af.mil', '(505) 846-9821');
INSERT INTO First_sergeants VALUES ('4', 'MSgt', 'Dawson', 'Daniel', 'daniel.dawson@us.af.mil', '(505) 846-1357');
INSERT INTO First_sergeants VALUES ('5', 'MSgt', 'Edwards', 'Emily', 'emily.edwards@us.af.mil', '(505) 846-6289');
INSERT INTO First_sergeants VALUES ('6', 'MSgt', 'Fisher', 'Finn', 'finn.fisher@us.af.mil', '(505) 846-7421');
INSERT INTO First_sergeants VALUES ('7', 'MSgt', 'Grant', 'Grace', 'grace.grant@us.af.mil', '(505) 846-9512');
INSERT INTO First_sergeants VALUES ('8', 'MSgt', 'Harrison', 'Henry', 'henry.harrison@us.af.mil', '(505) 846-1186');
INSERT INTO First_sergeants VALUES ('9', 'MSgt', 'Ingram', 'Isabella', 'isabella.ingram@us.af.mil', '(505) 846-2753');
INSERT INTO First_sergeants VALUES ('10', 'SMSgt', 'Johnson', 'Jackson', 'jackson.johnson@us.af.mil', '(505) 846-4932');
INSERT INTO First_sergeants VALUES ('11', 'SMSgt', 'King', 'Kayla', 'kayla.king@us.af.mil', '(505) 846-8172');
INSERT INTO First_sergeants VALUES ('12', 'SMSgt', 'Lewis', 'Liam', 'liam.lewis@us.af.mil', '(505) 846-6543');
INSERT INTO First_sergeants VALUES ('13', 'SMSgt', 'Mitchell', 'Madison', 'madison.mitchell@us.af.mil', '(505) 846-3921');
INSERT INTO First_sergeants VALUES ('14', 'MSgt', 'Nelson', 'Nathan', 'nathan.nelson@us.af.mil', '(505) 846-9285');
