Member_ID,Rank,Last Name,First Name,Phone Number,Email
1,TSgt,Caldwell,Ethan,(505)846-1111,ethan.caldwell@us.af.mil
2,SSgt,Hartman,Sienna,(505)846-1112,sienna.hartman@us.af.mil
3,SSgt,Whitemore,Logan,(505)846-1113,logan.whitemore@us.af.mil
4,SSgt,Sterling,Ava,(505)846-1114,ava.sterling@us.af.mil
5,SrA,Lennox,Noah,(505)846-1115,noah.lennox@us.af.mil
6,SrA,Kensington,Mira,(505)846-1116,mira.kensington@us.af.mil
7,SrA,Thorne,Owen,(505)846-1117,owen.thorne@us.af.mil
8,SrA,Winslow,Elara,(505)846-1118,elara.winslow@us.af.mil
9,A1C,Holloway,Zane,(505)846-1119,zane.holloway@us.af.mil
10,A1C,Radcliffe,Isla,(505)846-1120,isla.radcliffe@us.af.mil
11,A1C,Mercer,Caleb,(505)846-1121,caleb.mercer@us.af.mil
12,Amn,Ashford,Vivian,(505)846-1122,vivian.ashford@us.af.mil
13,Amn,Montgomery,Jasper,(505)846-1123,jasper.montgomery@us.af.mil
14,Amn,Fairchild,Lena,(505)846-1124,lena.fairchild@us.af.mil
15,AB,Delacroix,Ronan,(505)846-1125,ronan.delacroix@us.af.mil
16,AB,Vance,Celste,(505)846-1126,celste.vance@us.af.mil
17,AB,Blackwood,Dorian,(505)846-1127,dorian.blackwood@us.af.mil
18,AB,Langford,Nia,(505)846-1128,nia.langford@us.af.mil
19,AB,Hawthorne,Wesley,(505)846-1129,wesley.hawthorne@us.af.mil
20,AB,Montgomery,Lilah,(505)846-1130,lilah.montgomery@us.af.mil
